TIME, PDP_Voltage, PDP_Total_Currentasfasf, PDP_DT_FL_Current, PDP_DT_FR_Current, PDP_DT_RL_Current, PDP_DT_RR_Current, Hopper_Motor_Current, Climber_Motor1_Current, Climber_Motor2_Current, Intake_Motor_Current, Shooter_Motor_Current, RIO_Loop_Time, RIO_Cpu_Load, RIO_RAM_Usage, Driver_FwdRev_cmd, Driver_Strafe_cmd, Driver_Rotate_cmd, Driver_Vision_Align_Desired, Auton_DT_FL_Desired_Velocity, Auton_DT_FR_Desired_Velocity, Auton_DT_RL_Desired_Velocity, Auton_DT_RR_Desired_Velocity, DT_Running_Closed_Loop, Robot_FwdRev_Vel, Robot_Strafe_Vel, Robot_Pose_Angle, Op_Gear_Release_Desired, Shot_State_Command, Hopper_Feed_Cmd, Intake_Speed_Cmd, Op_Intake_Desired, Op_Eject_Desired, Climb_Speed_Cmd, Shooter_Desired_Velocity, Shooter_Actual_Velocity, Shooter_Motor_Cmd, Shooter_Velocity_OK, FL_Motor_Cmd, FR_Motor_Cmd, RL_Motor_Cmd, RR_Motor_Cmd, FL_Wheel_Velocity, FR_Wheel_Velocity, RL_Wheel_Velocity, RR_Wheel_Velocity, Vision_System_Online, Valid_Vision_Target_Found, Vision_Target_Angle, Vision_Target_Range, Vision_Process_Time, Vision_CoProc_FPS, Vision_CoProc_CPU_load, Vision_CoProc_Mem_load, Vision_Align_Possible, Vision_DT_FwdRev_Cmd, Vision_DT_Rotate_Cmd, Vision_Align_On_Target, Vision_Align_State, Air_Pressure, 
sec, V, A, A, A, A, A, A, A, A, A, A, msec, %, %, cmd, cmd, cmd, bit, RPM, RPM, RPM, RPM, bit, ft/sec, ft/sec, deg, bit, bits, cmd, cmd, bit, bit, cmd, rpm, rpm, rpm, bit, cmd, cmd, cmd, cmd, rpm, rpm, rpm, rpm, bit, bit, deg, ft, msec, frames/sec, %, %, bit, cmd, cmd, cmd, states, psi, 
29.325023, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.488999999999749, 35.1, 84.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 64.09799999999814, 14.581723268062452, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.348103, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.72999999999925, 35.1, 84.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.033787500000000005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 64.09799999999814, 14.581723268062452, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.365594, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.636000000001644, 35.1, 84.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0335125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 64.09799999999814, 14.581723268062452, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.390067, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.334000000002618, 35.1, 84.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 63.227000000013504, 14.541012926958818, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.405284, 12.450000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.458999999999662, 35.1, 84.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0318125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 63.227000000013504, 14.541012926958818, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.425108, 12.450000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.954000000000462, 35.1, 84.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 63.227000000013504, 14.541012926958818, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.450069, 12.450000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.411000000000627, 35.1, 84.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0299875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 62.73199999995995, 14.797277300973052, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.466287, 12.450000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.182999999997833, 35.1, 84.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0295375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 62.73199999995995, 14.797277300973052, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.485453, 12.450000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.207000000001187, 35.1, 84.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030512500000000005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 62.73199999995995, 14.797277300973052, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
29.505111, 12.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.482999999999464, 35.1, 84.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0318625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -16.349999999999998, 17.277205953109355, 62.73199999995995, 14.797277300973052, 96.2, 17.4, 1.0, 0.0, 0.0, 0.0, 0.0, -9.2742929625, 
